Epoch,gpu_mem,box,obj,cls,total,targets,img_size,precision,recall,mAP@.5,mAP@.5:.95,val box,val obj,val cls
101,1.65G,0.03214,0.02455,0.003235,0.05992,108,416,0.8122,0.8885,0.8756,0.4275,0.04333,0.01525,0.0004937
102,1.65G,0.03251,0.02491,0.003098,0.06052,78,416,0.9101,0.8058,0.8849,0.465,0.0399,0.0148,0.0004769
103,1.65G,0.032,0.02598,0.003688,0.06167,91,416,0.8647,0.8115,0.851,0.4798,0.03775,0.01483,0.0006868
104,1.65G,0.03167,0.02564,0.003723,0.06103,92,416,0.8229,0.8863,0.8719,0.4611,0.03845,0.01414,0.0003639
105,1.65G,0.03178,0.02427,0.003763,0.05982,63,416,0.8353,0.7808,0.8476,0.4779,0.04112,0.01435,0.0007435
106,1.65G,0.03184,0.02451,0.004341,0.0607,94,416,0.9299,0.8371,0.8969,0.4697,0.04066,0.01507,0.0006994
107,1.65G,0.03185,0.0249,0.00397,0.06071,79,416,0.8305,0.8212,0.846,0.4353,0.04215,0.01606,0.0009845
108,1.65G,0.03143,0.02466,0.003878,0.05997,90,416,0.8658,0.8062,0.8634,0.4817,0.0388,0.01434,0.0009446
109,1.65G,0.03083,0.02476,0.003538,0.05913,81,416,0.8919,0.8193,0.9042,0.4887,0.03814,0.01431,0.001715
110,1.65G,0.03172,0.02488,0.003362,0.05996,79,416,0.8674,0.8493,0.8919,0.4606,0.03914,0.01493,0.000612
111,1.65G,0.03153,0.02476,0.003374,0.05966,102,416,0.9253,0.7941,0.8776,0.445,0.0417,0.01444,0.0004377
112,1.65G,0.03191,0.02463,0.003213,0.05975,67,416,0.7933,0.9102,0.881,0.4643,0.03893,0.01442,0.0008384
113,1.65G,0.0315,0.02494,0.003254,0.05969,98,416,0.8217,0.7962,0.8454,0.4342,0.04128,0.0152,0.0003239
114,1.65G,0.03164,0.02546,0.003708,0.06081,96,416,0.8587,0.8288,0.8626,0.4708,0.03782,0.01429,0.001163
115,1.65G,0.03152,0.02399,0.003486,0.059,84,416,0.8717,0.7962,0.8577,0.4505,0.04164,0.01479,0.0007304
116,1.65G,0.03122,0.02445,0.003299,0.05897,94,416,0.8814,0.8462,0.8673,0.4566,0.03995,0.01453,0.0006501
117,1.65G,0.03163,0.02467,0.003229,0.05953,70,416,0.8345,0.8284,0.8597,0.4422,0.04161,0.01447,0.0006429
118,1.65G,0.03103,0.024,0.002965,0.05799,90,416,0.9108,0.792,0.863,0.4399,0.04104,0.01445,0.0006212
119,1.65G,0.03112,0.02442,0.00316,0.05871,63,416,0.9253,0.8315,0.8923,0.4656,0.04107,0.01446,0.001057
120,1.65G,0.03078,0.02491,0.003181,0.05887,77,416,0.9195,0.8365,0.9008,0.4811,0.04011,0.01375,0.0005332
121,1.65G,0.03112,0.02458,0.003207,0.0589,87,416,0.8186,0.8108,0.8369,0.4926,0.0407,0.01447,0.001293
122,1.65G,0.03056,0.02439,0.003787,0.05874,92,416,0.8612,0.8865,0.884,0.4603,0.0414,0.01561,0.0006748
123,1.65G,0.0305,0.02455,0.003272,0.05832,109,416,0.9294,0.8251,0.9059,0.4582,0.04049,0.01436,0.0004215
124,1.65G,0.03059,0.02454,0.002944,0.05806,87,416,0.8004,0.9038,0.8403,0.4447,0.03939,0.01436,0.00112
125,1.65G,0.03096,0.02485,0.002859,0.05867,98,416,0.8689,0.8452,0.8857,0.4569,0.04145,0.01381,0.0006624
126,1.65G,0.0309,0.02428,0.003026,0.05821,115,416,0.8697,0.8288,0.8677,0.4508,0.04174,0.01439,0.0009276
127,1.65G,0.03005,0.0246,0.002788,0.05745,78,416,0.8031,0.8614,0.8571,0.4468,0.04077,0.01446,0.000572
128,1.65G,0.03016,0.02328,0.003095,0.05653,75,416,0.8413,0.8865,0.859,0.4652,0.03878,0.01476,0.0004474
129,1.65G,0.03029,0.02454,0.003309,0.05814,101,416,0.8472,0.8462,0.8792,0.4603,0.03985,0.01465,0.0007752
130,1.65G,0.03,0.02417,0.003168,0.05734,84,416,0.799,0.8212,0.8104,0.471,0.04083,0.01422,0.001605
131,1.65G,0.03045,0.02389,0.00312,0.05746,99,416,0.8667,0.8365,0.8458,0.4619,0.04088,0.01399,0.000511
132,1.65G,0.03092,0.02461,0.002428,0.05796,77,416,0.8941,0.7308,0.8334,0.4371,0.03895,0.01492,0.0006759
133,1.65G,0.03014,0.02336,0.002835,0.05633,77,416,0.8312,0.8135,0.844,0.434,0.04051,0.0146,0.0009683
134,1.65G,0.03009,0.02435,0.002929,0.05737,89,416,0.8641,0.7808,0.8498,0.4438,0.04039,0.01443,0.000855
135,1.65G,0.03036,0.0241,0.002861,0.05733,98,416,0.877,0.8557,0.9016,0.4734,0.03954,0.01495,0.0002079
136,1.65G,0.03015,0.02395,0.002579,0.05668,85,416,0.8218,0.8288,0.8454,0.4088,0.04164,0.015,0.001659
137,1.65G,0.02975,0.024,0.002637,0.05639,71,416,0.9405,0.7876,0.8957,0.4415,0.03948,0.01505,0.0004181
138,1.65G,0.02993,0.02387,0.00307,0.05687,99,416,0.9359,0.7962,0.8808,0.427,0.04034,0.01514,0.0004079
139,1.65G,0.03041,0.02353,0.002481,0.05642,92,416,0.8786,0.794,0.8728,0.4631,0.03959,0.01473,0.002298
140,1.65G,0.02975,0.02383,0.00272,0.05629,62,416,0.7857,0.8864,0.8421,0.4497,0.04008,0.01446,0.0005575
141,1.65G,0.02983,0.02371,0.002705,0.05625,72,416,0.8527,0.848,0.8964,0.4372,0.04102,0.01442,0.0003814
142,1.65G,0.02904,0.02352,0.002837,0.05539,86,416,0.8112,0.832,0.8634,0.4604,0.03857,0.0143,0.0003148
143,1.65G,0.02965,0.02364,0.00258,0.05587,93,416,0.8622,0.8385,0.8594,0.4536,0.03775,0.01419,0.0006475
